datetime,time (s),sigma_w (S/m)
2024-10-11 00:22:00,-576480.0,
2024-10-11 00:23:00,-576420.0,
2024-10-11 00:24:00,-576360.0,
2024-10-11 00:25:00,-576300.0,
2024-10-11 00:26:00,-576240.0,
2024-10-11 00:27:00,-576180.0,
2024-10-11 00:28:00,-576120.0,
2024-10-11 00:29:00,-576060.0,
2024-10-11 00:30:00,-576000.0,
2024-10-11 00:31:00,-575940.0,
2024-10-11 00:32:00,-575880.0,
2024-10-11 00:33:00,-575820.0,
2024-10-11 00:34:00,-575760.0,
2024-10-11 00:35:00,-575700.0,
2024-10-11 00:36:00,-575640.0,
2024-10-11 00:37:00,-575580.0,
2024-10-11 00:38:00,-575520.0,
2024-10-11 00:39:00,-575460.0,
2024-10-11 00:40:00,-575400.0,
2024-10-11 00:41:00,-575340.0,
2024-10-11 00:42:00,-575280.0,
2024-10-11 00:43:00,-575220.0,
2024-10-11 00:44:00,-575160.0,
2024-10-11 00:45:00,-575100.0,
2024-10-11 00:46:00,-575040.0,
2024-10-11 00:47:00,-574980.0,
2024-10-11 00:48:00,-574920.0,
2024-10-11 00:49:00,-574860.0,
2024-10-11 00:50:00,-574800.0,
2024-10-11 00:51:00,-574740.0,
2024-10-11 00:52:00,-574680.0,
2024-10-11 00:53:00,-574620.0,
2024-10-11 00:54:00,-574560.0,
2024-10-11 00:55:00,-574500.0,
2024-10-11 00:56:00,-574440.0,
2024-10-11 00:57:00,-574380.0,
2024-10-11 00:58:00,-574320.0,
2024-10-11 00:59:00,-574260.0,
2024-10-11 01:00:00,-574200.0,
2024-10-11 01:01:00,-574140.0,
2024-10-11 01:02:00,-574080.0,
2024-10-11 01:03:00,-574020.0,
2024-10-11 01:04:00,-573960.0,
2024-10-11 01:05:00,-573900.0,
2024-10-11 01:06:00,-573840.0,
2024-10-11 01:07:00,-573780.0,
2024-10-11 01:08:00,-573720.0,
2024-10-11 01:09:00,-573660.0,
2024-10-11 01:10:00,-573600.0,
2024-10-11 01:11:00,-573540.0,
2024-10-11 01:12:00,-573480.0,
2024-10-11 01:13:00,-573420.0,
2024-10-11 01:14:00,-573360.0,
2024-10-11 01:15:00,-573300.0,
2024-10-11 01:16:00,-573240.0,
2024-10-11 01:17:00,-573180.0,
2024-10-11 01:18:00,-573120.0,
2024-10-11 01:19:00,-573060.0,
2024-10-11 01:20:00,-573000.0,
2024-10-11 01:21:00,-572940.0,
2024-10-11 01:22:00,-572880.0,
2024-10-11 01:23:00,-572820.0,
2024-10-11 01:24:00,-572760.0,
2024-10-11 01:25:00,-572700.0,
2024-10-11 01:26:00,-572640.0,
2024-10-11 01:27:00,-572580.0,
2024-10-11 01:28:00,-572520.0,
2024-10-11 01:29:00,-572460.0,
2024-10-11 01:30:00,-572400.0,
2024-10-11 01:31:00,-572340.0,
2024-10-11 01:32:00,-572280.0,
2024-10-11 01:33:00,-572220.0,
2024-10-11 01:34:00,-572160.0,
2024-10-11 01:35:00,-572100.0,
2024-10-11 01:36:00,-572040.0,
2024-10-11 01:37:00,-571980.0,
2024-10-11 01:38:00,-571920.0,
2024-10-11 01:39:00,-571860.0,
2024-10-11 01:40:00,-571800.0,
2024-10-11 01:41:00,-571740.0,
2024-10-11 01:42:00,-571680.0,
2024-10-11 01:43:00,-571620.0,
2024-10-11 01:44:00,-571560.0,
2024-10-11 01:45:00,-571500.0,
2024-10-11 01:46:00,-571440.0,
2024-10-11 01:47:00,-571380.0,
2024-10-11 01:48:00,-571320.0,
2024-10-11 01:49:00,-571260.0,
2024-10-11 01:50:00,-571200.0,
2024-10-11 01:51:00,-571140.0,
2024-10-11 01:52:00,-571080.0,
2024-10-11 01:53:00,-571020.0,
2024-10-11 01:54:00,-570960.0,
2024-10-11 01:55:00,-570900.0,
2024-10-11 01:56:00,-570840.0,
2024-10-11 01:57:00,-570780.0,
2024-10-11 01:58:00,-570720.0,
2024-10-11 01:59:00,-570660.0,
2024-10-11 02:00:00,-570600.0,
2024-10-11 02:01:00,-570540.0,
2024-10-11 02:02:00,-570480.0,
2024-10-11 02:03:00,-570420.0,
2024-10-11 02:04:00,-570360.0,
2024-10-11 02:05:00,-570300.0,
2024-10-11 02:06:00,-570240.0,
2024-10-11 02:07:00,-570180.0,
2024-10-11 02:08:00,-570120.0,
2024-10-11 02:09:00,-570060.0,
2024-10-11 02:10:00,-570000.0,
2024-10-11 02:11:00,-569940.0,
2024-10-11 02:12:00,-569880.0,
2024-10-11 02:13:00,-569820.0,
2024-10-11 02:14:00,-569760.0,
2024-10-11 02:15:00,-569700.0,
2024-10-11 02:16:00,-569640.0,
2024-10-11 02:17:00,-569580.0,
2024-10-11 02:18:00,-569520.0,
2024-10-11 02:19:00,-569460.0,
2024-10-11 02:20:00,-569400.0,
2024-10-11 02:21:00,-569340.0,
2024-10-11 02:22:00,-569280.0,
2024-10-11 02:23:00,-569220.0,
2024-10-11 02:24:00,-569160.0,
2024-10-11 02:25:00,-569100.0,
2024-10-11 02:26:00,-569040.0,
2024-10-11 02:27:00,-568980.0,
2024-10-11 02:28:00,-568920.0,
2024-10-11 02:29:00,-568860.0,
2024-10-11 02:30:00,-568800.0,
2024-10-11 02:31:00,-568740.0,
2024-10-11 02:32:00,-568680.0,
2024-10-11 02:33:00,-568620.0,
2024-10-11 02:34:00,-568560.0,
