time (s),datetime,spacing (m),avg Rho-a (Ohm-m),std Rho-a (Ohm-m),avg dRho-a (Ohm-m),std dRho-a (Ohm-m),rel avg (%),rel std (%),residual,rel residual (%)
608520,2024-10-24 17:32:00,2.0,13.7026875,0.384140662510167,-0.38242499999999957,0.11352007256428295,-2.7264379027560883,0.8348666936311807,0.31670937499999985,0.7191593506139734
622920,2024-10-24 21:32:00,0.25,11.632090909090909,0.5260281230894329,-3.83930909090909,0.2533321156633052,-24.80400600901896,0.8419238537057614,0.4734446280991735,0.7412790526776544
622920,2024-10-24 21:32:00,0.5,14.30837,0.7273113639288197,-3.23642,0.21111243828822648,-18.45071929621186,0.9038765777233343,0.627464,0.754640726758564
622920,2024-10-24 21:32:00,0.75,14.82944,0.6365111691086028,-2.2857699999999994,0.37056057008267884,-13.351527744161764,2.0825512238676116,0.5664600000000002,1.5154356362028463
622920,2024-10-24 21:32:00,1.0,14.532919999999999,0.6815697158765197,-1.4586700000000001,0.19500477455693208,-9.126051712881049,1.176850884542464,0.601656,1.0206876964072904
622920,2024-10-24 21:32:00,1.25,14.288777777777776,0.6815385336424539,-0.9710111111111114,0.16900384903206864,-6.361554712726384,1.0365753139911047,0.5982641975308641,0.9060958471862122
622920,2024-10-24 21:32:00,1.5,13.909933333333335,0.5530290106917237,-0.7155333333333334,0.18788107349538316,-4.892082697500079,1.2794409033392709,0.4329925925925926,1.0920513844679312
622920,2024-10-24 21:32:00,1.75,13.794111111111112,0.48863086827593993,-0.5671222222222223,0.33981943825697203,-3.9134370606157076,2.223080307313498,0.4094123456790128,1.883751923254315
622920,2024-10-24 21:32:00,2.0,13.701525,0.39332815418553496,-0.38358749999999997,0.11742043516249656,-2.736224651977854,0.8649350498000207,0.32648125000000006,0.7689262791224245
637320,2024-10-25 01:32:00,0.25,11.609536363636362,0.5293254305292338,-3.861863636363637,0.25296643784835543,-24.950978947585188,0.8531544441738783,0.4830578512396693,0.759643447685375
637320,2024-10-25 01:32:00,0.5,14.2844,0.7460209313417419,-3.26039,0.1997884603774707,-18.592497552042435,0.9348217873559473,0.6366999999999999,0.7632333999158567
637320,2024-10-25 01:32:00,0.75,14.81098,0.6512102007800554,-2.3042299999999996,0.37066556907811066,-13.462845464826328,2.100304242280865,0.57958,1.5460243871589567
637320,2024-10-25 01:32:00,1.0,14.519169999999999,0.6921106328470904,-1.4724200000000005,0.1964210009138534,-9.214824491370145,1.220034508660963,0.6220160000000001,1.0235426587184393
637320,2024-10-25 01:32:00,1.25,14.262744444444444,0.6653465898998491,-0.9970444444444448,0.15601228663232583,-6.528709377807242,0.9291708589531218,0.5812395061728396,0.8486817999881137
637320,2024-10-25 01:32:00,1.5,13.908055555555555,0.5473501339506575,-0.7174111111111111,0.1838973653635479,-4.903822356347201,1.2525867263083417,0.4273728395061729,1.0439834162298505
637320,2024-10-25 01:32:00,1.75,13.774466666666667,0.46846043352430283,-0.5867666666666665,0.34048748059869144,-4.045683352657359,2.212662974785858,0.39611851851851854,1.875972954338885
637320,2024-10-25 01:32:00,2.0,13.6896625,0.3952556006481754,-0.39544999999999964,0.1263987539495545,-2.8203216673109917,0.9282572452831382,0.32805312500000006,0.8376143813621401
651720,2024-10-25 05:32:00,0.25,11.591909090909091,0.5339707524413764,-3.8794909090909098,0.24467489544865428,-25.06706912466002,0.7990211336676338,0.48775537190082635,0.7201356739132894
651720,2024-10-25 05:32:00,0.5,14.27434,0.7096633120008389,-3.2704499999999994,0.21659193082845965,-18.640684158961818,0.8511553747584724,0.6084480000000001,0.6862547800904706
651720,2024-10-25 05:32:00,0.75,14.773230000000002,0.6640825416316861,-2.3419799999999995,0.38100836421265055,-13.685288924956671,2.1744150740113417,0.59243,1.6421728367182964
651720,2024-10-25 05:32:00,1.0,14.517840000000001,0.6847610199186285,-1.4737500000000003,0.1847452096807921,-9.221946658934172,1.1336106158090367,0.6088919999999998,0.9659573802087328
651720,2024-10-25 05:32:00,1.25,14.2386,0.6693150346104257,-1.0211888888888891,0.15055168506709998,-6.688690837030303,0.9000319986343683,0.5904666666666666,0.8397741075020853
651720,2024-10-25 05:32:00,1.5,13.894211111111112,0.5606915520526502,-0.7312555555555554,0.17390738985711204,-5.002680149180628,1.2015257932993648,0.436879012345679,1.0171610654891048
651720,2024-10-25 05:32:00,1.75,13.737855555555557,0.4847996633458474,-0.6233777777777776,0.3488798289694149,-4.303410253394004,2.2708643831441493,0.40690617283950636,1.9217420647935777
651720,2024-10-25 05:32:00,2.0,13.67075,0.37325597784898235,-0.4143624999999995,0.11641008265502623,-2.951084008304763,0.8507697372190974,0.3114625,0.726316346594161
